time,Humidity,Temp,Voltage,current,Power,Energy,Frequency,PF
11:43:11:379,0.00%,0.00,109.00,5.19,554.40,0.01,59.8,0.98
11:43:13:430,0.00%,0.00,108.90,5.21,555.60,0.01,59.9,0.98
11:43:15:535,0.00%,0.00,109.00,5.21,557.00,0.01,59.9,0.98
11:43:17:645,0.00%,0.00,109.10,5.21,557.10,0.01,59.9,0.98
11:43:19:754,0.00%,0.00,109.00,5.21,556.70,0.01,59.8,0.98
11:43:21:860,0.00%,0.00,108.90,5.21,556.00,0.01,59.9,0.98
11:43:23:968,0.00%,0.00,109.00,5.21,555.90,0.01,59.9,0.98
11:43:26:078,0.00%,0.00,109.10,5.20,555.70,0.01,59.9,0.98
11:43:28:187,0.00%,0.00,109.10,5.20,555.20,0.01,59.8,0.98
11:43:30:296,0.00%,0.00,109.10,5.19,554.40,0.01,59.8,0.98
11:43:32:401,0.00%,0.00,109.10,5.18,553.30,0.01,59.8,0.98
11:43:34:511,0.00%,0.00,109.10,5.18,553.10,0.01,59.9,0.98
11:43:36:620,0.00%,0.00,109.10,5.17,551.90,0.01,59.8,0.98
11:43:38:729,0.00%,0.00,109.10,5.16,550.40,0.01,59.9,0.98
11:43:40:835,0.00%,0.00,109.10,5.15,549.70,0.01,59.9,0.98
11:43:42:944,0.00%,0.00,109.10,5.14,548.50,0.01,59.9,0.98
11:43:45:053,0.00%,0.00,109.20,5.13,547.60,0.01,59.9,0.98
11:43:47:162,0.00%,0.00,109.30,5.13,547.40,0.02,59.9,0.98
11:43:49:272,0.00%,0.00,109.30,5.12,546.10,0.02,60.0,0.98
11:43:51:377,0.00%,0.00,109.20,5.11,544.40,0.02,60.0,0.98
11:43:53:486,0.00%,0.00,109.20,5.10,543.40,0.02,59.9,0.98
11:43:55:595,0.00%,0.00,109.30,5.10,543.70,0.02,59.9,0.98
11:43:57:704,0.00%,0.00,109.30,5.09,543.10,0.02,59.9,0.98
11:43:59:814,0.00%,0.00,109.30,5.08,541.30,0.02,59.9,0.98
11:44:01:919,0.00%,0.00,109.30,5.06,539.60,0.02,59.9,0.97
11:44:04:028,0.00%,0.00,109.20,5.06,538.20,0.02,59.9,0.97
11:44:06:137,0.00%,0.00,109.20,5.05,536.80,0.02,59.9,0.97
11:44:08:247,0.00%,0.00,109.00,5.09,540.90,0.02,59.9,0.98
11:44:10:352,0.00%,0.00,109.00,5.09,541.10,0.02,59.9,0.98
11:44:12:462,0.00%,0.00,109.10,5.07,539.00,0.02,59.9,0.98
11:44:14:571,0.00%,0.00,109.10,5.05,537.00,0.02,59.8,0.97
11:44:16:680,0.00%,0.00,109.10,5.04,536.30,0.02,59.9,0.97
11:44:18:794,0.00%,0.00,109.10,5.03,534.40,0.02,59.9,0.97
11:44:20:903,0.00%,0.00,109.10,5.01,532.50,0.02,59.8,0.97
11:44:23:008,0.00%,0.00,109.10,5.01,531.90,0.02,59.8,0.97
11:44:25:117,0.00%,0.00,109.10,5.00,530.20,0.02,59.9,0.97
11:44:27:227,0.00%,0.00,109.00,4.98,528.60,0.02,59.9,0.97
11:44:29:336,0.00%,0.00,109.00,4.98,528.00,0.02,59.8,0.97
11:44:31:445,0.00%,0.00,109.00,4.97,526.60,0.02,59.8,0.97
11:44:33:550,0.00%,0.00,109.00,4.96,525.30,0.02,59.9,0.97
11:44:35:660,0.00%,0.00,109.00,4.95,524.60,0.02,59.8,0.97
11:44:37:769,0.00%,0.00,109.00,4.94,523.30,0.02,59.8,0.97
11:44:39:878,0.00%,0.00,109.10,4.93,522.50,0.02,59.8,0.97
11:44:41:996,0.00%,0.00,109.10,4.93,521.90,0.02,59.8,0.97
11:44:44:105,0.00%,0.00,109.10,4.92,520.90,0.02,59.8,0.97
11:44:46:210,0.00%,0.00,109.10,4.92,520.30,0.02,59.8,0.97
11:44:48:320,0.00%,0.00,109.10,4.91,519.30,0.03,59.9,0.97
11:44:50:428,0.00%,0.00,109.10,4.90,518.30,0.03,59.8,0.97
11:44:52:538,0.00%,0.00,109.10,4.90,518.60,0.03,59.9,0.97
11:44:54:647,0.00%,0.00,109.10,4.91,519.30,0.03,59.9,0.97
11:44:56:752,0.00%,0.00,109.10,4.90,518.70,0.03,59.8,0.97
11:44:58:861,0.00%,0.00,109.10,4.90,518.30,0.03,59.8,0.97
11:45:00:971,0.00%,0.00,111.80,0.00,0.00,0.03,59.8,0.00
11:45:03:080,0.00%,0.00,111.80,0.00,0.00,0.03,59.8,0.00
11:45:05:198,0.00%,0.00,111.90,0.00,0.00,0.03,59.9,0.00
11:45:07:307,0.00%,0.00,112.00,0.00,0.00,0.03,59.9,0.00
11:45:09:412,0.00%,0.00,112.00,0.00,0.00,0.03,59.8,0.00
11:45:11:521,0.00%,0.00,111.90,0.00,0.00,0.03,59.9,0.00
11:45:13:631,0.00%,0.00,111.60,0.60,24.90,0.03,59.9,0.37
11:45:15:740,0.00%,0.00,108.30,5.80,614.00,0.03,59.9,0.98
11:45:17:849,0.00%,0.00,108.60,5.17,549.90,0.03,59.9,0.98
11:45:19:954,0.00%,0.00,108.70,5.10,542.10,0.03,59.9,0.98
11:45:22:064,0.00%,0.00,108.70,5.08,538.90,0.03,59.9,0.98
11:45:24:173,0.00%,0.00,108.70,5.03,532.90,0.03,59.8,0.97
11:45:26:282,0.00%,0.00,108.70,4.98,526.60,0.03,59.9,0.97
11:45:28:400,0.00%,0.00,108.70,4.95,523.20,0.03,59.9,0.97
11:45:30:509,0.00%,0.00,108.80,4.91,518.00,0.03,59.9,0.97
11:45:32:625,0.00%,0.00,108.90,4.86,512.60,0.03,59.8,0.97
11:45:34:724,0.00%,0.00,108.90,4.84,510.20,0.03,59.8,0.97
11:45:36:833,0.00%,0.00,109.00,4.80,505.30,0.03,59.8,0.97
11:45:38:942,0.00%,0.00,109.00,4.77,501.40,0.03,59.8,0.96
11:45:41:051,0.00%,0.00,109.00,4.75,499.50,0.03,59.9,0.96
11:45:43:156,0.00%,0.00,109.00,4.72,495.80,0.03,59.9,0.96
11:45:45:266,0.00%,0.00,108.90,4.70,492.30,0.03,59.9,0.96
11:45:47:375,0.00%,0.00,109.00,4.69,491.20,0.03,59.8,0.96
11:45:49:484,0.00%,0.00,109.10,4.67,489.10,0.03,59.9,0.96
11:45:51:598,0.00%,0.00,109.00,4.65,486.90,0.03,59.9,0.96
11:45:53:698,0.00%,0.00,109.00,4.65,486.50,0.03,59.9,0.96
11:45:55:808,0.00%,0.00,109.10,4.64,485.50,0.03,59.9,0.96
11:45:57:917,0.00%,0.00,109.10,4.63,484.80,0.03,59.9,0.96
11:46:00:026,0.00%,0.00,109.10,4.62,483.60,0.03,59.9,0.96
11:46:02:136,0.00%,0.00,109.10,4.62,482.90,0.03,59.9,0.96
11:46:04:241,0.00%,0.00,109.10,4.61,482.40,0.03,59.9,0.96
11:46:06:350,0.00%,0.00,109.10,4.61,481.90,0.03,59.9,0.96
11:46:08:459,0.00%,0.00,109.20,4.61,482.00,0.03,59.9,0.96
11:46:10:569,0.00%,0.00,109.20,4.61,481.80,0.03,60.0,0.96
11:46:12:679,0.00%,0.00,109.20,4.61,481.50,0.03,60.0,0.96
11:46:14:783,0.00%,0.00,109.20,4.61,481.70,0.03,60.0,0.96
11:46:16:892,0.00%,0.00,109.10,4.61,481.40,0.03,60.0,0.96
11:46:19:002,0.00%,0.00,109.20,4.61,481.50,0.03,60.0,0.96
11:46:21:111,0.00%,0.00,109.20,4.61,481.60,0.04,60.0,0.96
11:46:23:224,0.00%,0.00,109.20,4.61,481.00,0.04,60.0,0.96
11:46:25:329,0.00%,0.00,109.20,4.60,481.10,0.04,60.0,0.96
11:46:27:438,0.00%,0.00,109.20,4.65,486.80,0.04,60.0,0.96
