12:13:11:640 -> 1Humidity,Temp,Voltage,current,Power,Energy,Frequency,PF
12:13:11:698 -> 0.00%,0.00,113.70,0.00,0.00,0.11,60.0,0.00
12:13:13:754 -> 0.00%,0.00,113.80,0.00,0.00,0.11,60.0,0.00
12:13:15:859 -> 0.00%,0.00,113.70,0.00,0.00,0.11,60.0,0.00
12:13:17:968 -> 0.00%,0.00,110.20,5.13,550.90,0.11,60.0,0.97
12:13:20:077 -> 0.00%,0.00,110.30,5.15,553.30,0.11,60.0,0.97
12:13:22:187 -> 0.00%,0.00,110.40,5.16,555.80,0.11,60.0,0.98
12:13:24:297 -> 0.00%,0.00,110.60,5.17,557.10,0.11,60.0,0.98
12:13:26:409 -> 0.00%,0.00,110.50,5.16,556.70,0.11,60.0,0.98
12:13:28:511 -> 0.00%,0.00,110.60,5.16,556.70,0.11,60.0,0.98
12:13:30:620 -> 0.00%,0.00,110.60,5.15,556.00,0.11,60.0,0.98
12:13:32:729 -> 0.00%,0.00,110.60,5.15,555.80,0.11,60.0,0.98
12:13:34:834 -> 0.00%,0.00,110.70,5.14,555.00,0.11,60.0,0.97
12:13:36:944 -> 0.00%,0.00,110.70,5.13,553.70,0.11,60.0,0.97
12:13:39:053 -> 0.00%,0.00,110.70,5.13,553.10,0.11,60.0,0.97
12:13:41:162 -> 0.00%,0.00,110.70,5.12,551.80,0.11,60.0,0.97
12:13:43:271 -> 0.00%,0.00,110.70,5.11,551.00,0.11,60.0,0.97
12:13:45:377 -> 0.00%,0.00,110.70,5.10,549.10,0.11,60.0,0.97
12:13:47:498 -> 0.00%,0.00,110.70,5.08,547.00,0.11,60.0,0.97
12:13:49:604 -> 0.00%,0.00,110.70,5.07,546.30,0.11,60.0,0.97
12:13:51:713 -> 0.00%,0.00,110.80,5.06,544.50,0.11,60.0,0.97
12:13:53:822 -> 0.00%,0.00,110.70,5.04,542.40,0.11,60.0,0.97
12:13:55:932 -> 0.00%,0.00,110.80,5.03,541.30,0.11,59.9,0.97
12:13:58:041 -> 0.00%,0.00,110.80,5.02,539.70,0.11,60.0,0.97
12:14:00:146 -> 0.00%,0.00,110.70,5.00,537.40,0.11,60.0,0.97
12:14:02:255 -> 0.00%,0.00,110.80,4.99,536.80,0.11,59.9,0.97
12:14:04:364 -> 0.00%,0.00,110.80,4.98,534.80,0.11,60.0,0.97
12:14:06:474 -> 0.00%,0.00,110.80,4.96,533.00,0.11,59.9,0.97
12:14:08:579 -> 0.00%,0.00,110.80,4.96,532.00,0.11,60.0,0.97
12:14:10:700 -> 0.00%,0.00,110.80,4.94,530.10,0.11,60.0,0.97
12:14:12:806 -> 0.00%,0.00,110.80,4.92,528.00,0.11,59.9,0.97
12:14:14:915 -> 0.00%,0.00,110.80,4.92,527.30,0.11,59.9,0.97
12:14:17:024 -> 0.00%,0.00,110.90,4.90,525.70,0.12,59.9,0.97
12:14:19:134 -> 0.00%,0.00,113.80,0.00,0.00,0.12,59.9,0.00
12:14:21:243 -> 0.00%,0.00,113.80,0.00,0.00,0.12,60.0,0.00
12:14:23:348 -> 0.00%,0.00,113.70,0.00,0.00,0.12,59.9,0.00
12:14:25:457 -> 0.00%,0.00,113.70,0.00,0.00,0.12,59.9,0.00
12:14:27:566 -> 0.00%,0.00,113.70,0.00,0.00,0.12,59.9,0.00
12:14:29:676 -> 0.00%,0.00,113.80,0.00,0.00,0.12,59.9,0.00
12:14:31:781 -> 0.00%,0.00,113.70,0.00,0.00,0.12,59.9,0.00
12:14:33:890 -> 0.00%,0.00,113.70,0.00,0.00,0.12,59.9,0.00
12:14:35:999 -> 0.00%,0.00,113.80,0.00,0.00,0.12,60.0,0.00
12:14:38:108 -> 0.00%,0.00,113.80,0.00,0.00,0.12,59.9,0.00
